Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
422471,427901,2,21/10/2019,3,2,4,1,9,1,3,1,26
422471,427901,2,21/10/2019,3,2,4,1,9,2,3,1,22
431266,436334,2,21/10/2019,4,2,1,2,9,1,3,2,45
434905,431290,1,21/10/2019,3,1,1,1,21,1,3,1,31
437572,432099,1,21/10/2019,6,1,1,1,9,3,2,1,8
430251,431959,4,22/10/2019,1,1,1,1,9,1,3,1,40
439459,446166,2,22/10/2019,3,1,1,1,9,1,3,2,38
429421,433886,4,23/10/2019,2,1,1,1,9,1,3,1,26
429421,433886,4,23/10/2019,2,1,1,1,19,1,3,1,26
435672,433901,2,23/10/2019,6,1,1,1,1,1,3,1,9
424929,427642,2,24/10/2019,3,2,4,1,9,1,3,1,54
430957,426513,2,24/10/2019,1,1,1,1,9,1,3,2,72
437371,425752,1,24/10/2019,6,1,1,1,5,1,2,1,57
424321,435331,1,24/10/2019,3,1,1,1,9,3,3,1,23
433149,426328,2,24/10/2019,3,2,4,2,3,1,3,1,49
429968,436635,2,25/10/2019,3,1,1,1,9,1,3,1,39
420398,434130,1,25/10/2019,6,2,1,2,9,3,3,2,10
426066,427380,1,25/10/2019,4,1,1,1,9,3,3,1,39
436686,436620,2,25/10/2019,6,2,1,2,9,3,3,2,46
431451,435823,2,25/10/2019,6,2,1,2,1,1,3,1,39
428858,433953,2,25/10/2019,6,2,4,2,1,1,2,1,33
424092,428106,2,25/10/2019,3,1,4,1,9,1,3,1,27
424092,428106,2,25/10/2019,3,1,4,1,9,2,3,2,28
429561,431046,1,26/10/2019,6,2,4,2,9,3,3,2,41
424860,441876,2,26/10/2019,6,2,1,2,3,1,3,1,29
427326,434673,2,27/10/2019,3,1,1,1,1,1,3,1,19
436295,436657,2,27/10/2019,6,1,4,1,3,1,3,1,18
429674,434589,1,28/10/2019,3,1,1,1,11,3,2,1,18
429771,430660,1,29/10/2019,6,1,1,1,9,3,3,1,84
421728,428374,2,29/10/2019,3,1,4,1,9,1,3,1,30
421728,428374,2,29/10/2019,3,1,4,1,9,1,3,1,40
420842,434796,3,29/10/2019,3,1,4,1,9,1,3,2,20
432743,436150,2,29/10/2019,6,1,4,1,1,1,2,1,45
428916,434804,2,08/11/2019,6,1,4,1,1,1,3,1,22
430256,433231,1,31/10/2019,6,2,4,1,9,3,3,1,20
429582,434806,1,31/10/2019,3,1,1,1,9,3,3,2,18
428112,426284,2,31/10/2019,3,1,1,1,9,1,3,2,59
426208,427459,2,31/10/2019,6,1,1,1,9,1,3,2,72
428958,435471,2,31/10/2019,3,2,4,2,9,1,3,1,21
423826,429504,2,31/10/2019,4,2,4,2,3,1,3,1,19
427896,436196,1,31/10/2019,3,2,4,2,9,3,3,1,29
430942,433305,1,01/11/2019,6,1,1,1,9,3,2,2,59
425901,436250,2,01/11/2019,6,2,4,5,9,1,3,1,36
440074,434243,3,01/11/2019,1,2,6,2,9,2,3,2,59
429950,423840,2,03/11/2019,1,1,6,1,9,1,3,1,35
436558,434703,1,01/11/2019,6,2,4,2,11,2,3,1,75
434915,436251,1,01/11/2019,6,2,1,2,9,3,3,1,38
424792,434818,2,02/11/2019,3,2,1,2,3,1,3,1,22
428601,430887,1,02/11/2019,3,2,1,2,9,3,2,1,48
442124,449037,1,02/11/2019,6,2,6,8,9,3,1,1,65
442124,449037,1,02/11/2019,6,2,6,8,9,3,2,1,52
423548,437863,1,03/11/2019,6,2,1,1,9,3,3,2,14
425155,429007,4,04/11/2019,3,2,6,1,19,1,3,1,27
425155,429007,4,04/11/2019,3,2,6,1,19,2,3,2,39
429704,432133,2,04/11/2019,1,2,1,2,21,3,1,1,47
427449,430904,2,04/11/2019,1,1,1,1,19,1,3,2,51
431071,427777,1,04/11/2019,6,2,4,2,19,3,1,2,75
432902,426227,1,04/11/2019,4,1,1,1,9,3,3,1,11
428351,433471,2,05/11/2019,6,2,4,1,9,1,3,1,43
428351,433471,2,05/11/2019,6,2,4,1,9,2,3,1,26
442690,437584,1,05/11/2019,6,2,1,1,9,1,3,1,21
428349,429220,2,05/11/2019,6,1,1,1,1,1,3,1,26
426156,439135,1,05/11/2019,6,1,1,1,9,3,2,2,64
426350,435931,2,05/11/2019,6,2,4,8,5,1,3,1,53
418939,444820,2,11/02/2019,3,1,1,1,9,1,3,1,83
418939,444820,2,11/02/2019,3,1,1,1,9,2,3,1,89
418939,444820,2,11/02/2019,3,1,1,1,9,2,2,1,81
431086,431385,2,05/11/2019,6,2,1,2,9,1,3,2,45
424417,438120,2,05/11/2019,6,2,4,2,9,1,3,2,56
437581,437236,1,05/11/2019,6,4,4,8,9,1,3,1,18
429655,433382,1,06/11/2019,6,1,1,1,8,3,3,2,56
430958,435814,1,06/11/2019,6,2,4,2,9,3,3,1,73
436159,434497,1,06/11/2019,3,2,4,1,9,3,2,1,20
424946,434225,2,07/11/2019,3,2,1,2,5,1,3,1,54
443331,435489,2,07/11/2019,4,2,1,2,9,1,3,2,28
443331,435489,2,07/11/2019,4,2,1,2,9,1,3,1,39
420911,434468,2,26/10/2019,6,1,7,1,9,2,3,1,12
420911,434468,2,26/10/2019,6,1,7,1,9,2,3,1,9
420911,434468,2,26/10/2019,6,1,7,1,9,2,3,2,10
430955,435796,1,07/11/2019,6,2,1,2,9,3,3,2,5
429725,433525,1,07/11/2019,6,2,6,2,3,3,2,2,33
429001,438958,2,07/11/2019,6,2,4,5,9,1,3,2,35
425160,429000,3,07/11/2019,3,2,4,2,9,1,3,1,52
432224,435160,1,07/11/2019,6,1,7,1,9,3,3,2,16
422735,434052,1,07/11/2019,3,5,4,2,9,1,3,1,30
422735,434052,1,07/11/2019,3,5,4,2,9,2,2,1,27
432872,432385,2,08/11/2019,3,2,1,1,19,1,3,1,43
432872,432385,2,08/11/2019,3,2,1,1,19,2,3,1,60
432872,432385,2,08/11/2019,3,2,1,1,9,1,3,1,49
430962,433259,2,08/11/2019,3,1,1,1,9,1,3,2,27
430959,435790,1,08/11/2019,6,2,1,1,19,3,2,2,59
430107,431200,2,08/11/2019,3,1,1,1,2,1,3,1,25
432626,436857,2,08/11/2019,6,2,1,1,9,2,3,2,39
432626,436857,2,08/11/2019,6,2,1,1,9,2,3,2,49
432626,436857,2,08/11/2019,6,2,1,1,9,2,3,2,12
425142,435224,1,08/11/2019,6,2,1,1,9,3,3,2,4
433878,425861,4,08/11/2019,1,2,6,1,9,1,3,2,40
433878,425861,4,08/11/2019,1,2,6,1,9,1,3,1,54
428509,431382,2,08/11/2019,3,2,4,1,1,1,3,1,63
432139,429216,2,08/11/2019,1,2,4,1,9,1,3,1,38
432139,429216,2,08/11/2019,1,2,4,1,9,1,3,1,54
432139,429216,2,08/11/2019,1,2,4,1,9,2,3,2,75
432221,435640,1,08/11/2019,6,2,1,4,9,3,3,1,18
430576,430891,3,08/11/2019,6,2,4,1,9,1,3,1,38
433616,438997,1,08/11/2019,3,2,4,1,9,1,2,1,18
437765,432416,1,09/11/2019,1,1,1,1,9,1,3,2,32
437765,432416,1,09/11/2019,1,1,1,1,9,2,3,1,8
437765,432416,1,09/11/2019,1,1,1,1,9,2,3,1,6
437765,432416,1,09/11/2019,1,1,1,1,9,2,3,2,1
432148,429795,1,09/11/2019,1,2,1,1,9,1,3,2,26
431883,441881,2,09/11/2019,3,2,4,2,9,1,3,2,68
431883,441881,2,09/11/2019,3,2,4,2,9,2,3,1,14
433218,436186,1,08/11/2019,3,1,7,1,9,3,3,2,47
424438,442066,1,10/11/2019,6,2,6,5,9,1,3,1,19
424438,442066,1,10/11/2019,6,2,6,5,9,2,3,2,18
421547,428506,2,10/11/2019,3,1,4,1,9,2,2,1,50
430473,431158,3,11/11/2019,1,2,1,1,9,1,3,1,27
430473,431158,3,11/11/2019,1,2,1,1,9,1,3,1,50
418402,442323,1,11/11/2019,6,2,4,2,9,3,2,2,79
427314,435777,1,07/11/2019,6,1,1,1,9,3,2,2,16
430933,433311,2,12/11/2019,3,2,4,2,9,1,3,1,40
430933,433311,2,12/11/2019,3,2,4,2,11,1,3,1,49
423332,434349,1,12/11/2019,6,1,1,1,9,3,3,2,19
429785,432721,1,12/11/2019,6,2,1,1,10,3,3,1,19
428312,436511,1,11/11/2019,4,2,4,2,9,3,3,1,8
426230,427821,1,12/11/2019,6,2,1,2,9,3,3,1,74
442803,429679,1,12/11/2019,6,2,6,1,21,1,2,1,38
430096,431356,2,13/11/2019,3,1,1,1,1,1,3,1,17
430402,437865,2,13/11/2019,6,1,1,1,1,1,3,1,29
428516,432660,2,07/11/2019,3,2,1,1,9,1,3,1,26
436114,436704,2,13/11/2019,3,1,4,1,9,1,3,1,57
433180,434013,2,14/11/2019,3,2,1,1,9,1,3,2,30
433180,434013,2,14/11/2019,3,2,1,1,9,2,2,2,60
433180,434013,2,14/11/2019,3,2,1,1,9,2,3,2,25
429859,433789,2,14/11/2019,6,2,4,2,1,1,3,1,54
440495,433470,2,14/11/2019,6,2,1,2,9,1,3,2,50
426585,433861,2,14/11/2019,6,2,1,1,9,1,3,1,63
429751,433527,1,14/11/2019,6,2,4,2,9,3,2,2,69
441054,448822,2,14/11/2019,6,1,1,1,3,1,3,1,17
431433,428351,1,14/11/2019,6,2,4,2,9,1,2,1,29
426044,436353,1,15/11/2019,6,2,6,2,9,3,3,2,41
441106,449599,4,16/11/2019,2,2,6,2,9,1,3,1,40
429243,430844,2,16/11/2019,6,2,4,1,9,2,3,2,34
429243,430844,2,16/11/2019,6,2,4,1,9,2,3,2,12
429243,430844,2,16/11/2019,6,2,4,1,9,2,3,2,10
426383,427480,1,16/11/2019,4,2,4,2,9,3,3,1,46
434608,437396,1,17/11/2019,3,2,5,2,9,3,2,1,50
428400,429373,1,17/11/2019,3,2,4,1,3,1,2,1,42
428400,429373,1,17/11/2019,3,2,4,1,3,3,2,1,37
443400,438717,4,17/11/2019,2,1,1,1,9,1,3,2,50
443400,438717,4,17/11/2019,2,1,1,1,9,2,3,1,52
443400,438717,4,17/11/2019,2,1,1,1,9,1,3,2,60
443400,438717,4,17/11/2019,2,1,1,1,9,2,3,1,61
429192,435352,2,15/11/2019,6,1,4,8,1,1,3,2,24
424271,435373,1,18/11/2019,6,1,1,1,9,3,2,1,85
430902,435530,1,18/11/2019,6,2,4,1,9,3,3,2,52
428364,435155,2,18/11/2019,6,1,4,1,4,1,3,1,24
432101,435537,2,19/11/2019,6,4,1,1,9,1,3,2,40
432101,435537,2,19/11/2019,6,4,1,1,9,2,3,1,12
428835,437842,2,19/11/2019,6,4,1,1,9,1,3,2,22
436727,435925,2,19/11/2019,6,4,1,1,9,1,3,2,43
437951,433215,2,19/11/2019,1,1,1,1,9,1,3,1,27
437951,433215,2,19/11/2019,1,1,1,1,20,1,3,1,24
437951,433215,2,19/11/2019,1,1,1,1,20,2,3,1,18
430811,433259,1,19/11/2019,3,1,1,1,11,3,2,1,38
431971,435822,1,19/11/2019,3,1,4,1,9,3,3,1,11
430246,434376,2,19/11/2019,3,1,4,1,9,2,3,1,55
426818,438059,2,20/11/2019,3,1,4,1,8,1,3,1,31
432417,426204,3,20/11/2019,1,1,1,1,9,1,3,2,59
432417,426204,3,20/11/2019,1,1,1,1,21,1,3,1,55
423424,445514,4,20/11/2019,3,2,1,2,9,1,3,2,86
423424,445514,4,20/11/2019,3,2,1,2,19,1,3,1,36
435002,438403,2,20/11/2019,3,2,1,1,9,1,3,1,41
435002,438403,2,20/11/2019,3,2,1,1,9,1,3,1,31
429551,430311,2,20/11/2019,3,1,4,1,8,1,3,1,46
430149,445351,2,20/11/2019,3,1,6,1,9,1,3,2,27
426766,438350,2,20/11/2019,3,1,4,1,1,1,3,2,39
431402,435029,2,20/11/2019,6,2,4,2,9,1,3,2,35
427153,432524,2,20/11/2019,6,2,4,2,3,1,3,1,54
424586,435143,4,20/11/2019,3,2,4,1,9,1,3,1,26
424586,435143,4,20/11/2019,3,2,4,1,9,2,3,1,24
424586,435143,4,20/11/2019,3,2,4,1,9,2,3,2,20
424586,435143,4,20/11/2019,3,2,4,1,9,1,3,1,44
424586,435143,4,20/11/2019,3,2,4,1,9,1,3,1,27
428559,434257,2,20/11/2019,6,2,4,1,8,1,3,1,42
431250,429705,1,21/11/2019,6,2,1,1,9,3,2,2,11
430112,438324,2,21/11/2019,6,1,1,1,19,1,3,1,53
424371,445352,2,21/11/2019,3,1,1,1,1,1,2,1,47
426082,431596,1,21/11/2019,3,2,4,1,9,2,3,1,83
430464,435594,2,21/11/2019,3,2,4,1,9,1,3,1,50
425134,433917,2,21/11/2019,6,2,4,2,1,1,3,2,10
423005,437637,3,21/11/2019,3,2,4,2,9,1,3,1,89
427927,426408,2,22/11/2019,6,2,1,2,9,1,3,1,25
438026,425857,2,22/11/2019,4,2,6,2,9,1,3,2,39
429572,423157,2,22/11/2019,1,2,1,2,9,1,3,2,55
427216,432898,1,22/11/2019,6,1,1,1,9,3,3,2,11
422337,433382,1,22/11/2019,6,1,4,1,9,3,3,2,13
429531,437005,1,23/11/2019,6,2,4,1,9,1,3,1,32
428760,432721,2,23/11/2019,6,2,1,1,1,1,3,1,26
426325,433091,2,23/11/2019,6,1,4,1,1,1,3,1,32
431089,434206,1,24/11/2019,6,2,1,1,9,3,3,1,41
431089,434206,1,24/11/2019,6,2,1,1,9,3,3,1,31
429782,433497,1,24/11/2019,6,1,4,1,19,3,2,1,73
427534,429803,2,25/11/2019,6,2,1,1,1,1,3,1,30
425587,434257,1,25/11/2019,3,2,4,2,19,3,2,2,15
422438,427908,2,23/11/2019,6,2,1,1,9,1,3,2,23
432823,435217,2,25/11/2019,6,2,4,1,1,1,3,1,49
430653,434684,3,26/11/2019,3,2,1,2,9,1,3,2,56
432847,442494,2,26/11/2019,6,2,1,2,9,1,3,2,17
429737,430566,1,26/11/2019,6,2,4,1,19,3,3,2,16
429737,430566,1,26/11/2019,6,2,4,1,19,3,3,2,16
434457,434385,3,26/11/2019,3,1,4,1,9,1,3,1,21
434457,434385,3,26/11/2019,3,1,4,1,9,1,3,1,30
428578,431540,2,26/11/2019,6,2,4,2,9,1,3,2,23
434950,442850,1,26/11/2019,6,2,6,1,9,1,2,1,87
432536,433789,1,27/11/2019,3,2,4,2,11,3,3,2,20
431808,425365,2,27/11/2019,1,2,4,2,9,2,3,2,43
429000,429625,2,27/11/2019,6,2,4,2,9,1,3,2,26
429000,429625,2,27/11/2019,6,2,4,2,9,2,3,2,36
429000,429625,2,27/11/2019,6,2,4,2,9,1,3,1,41
430002,432656,2,27/11/2019,3,2,4,2,9,1,2,1,47
427500,434515,1,26/11/2019,6,2,4,1,9,3,2,1,27
423157,433366,5,27/11/2019,4,2,4,2,9,1,2,1,26
431150,437982,2,28/11/2019,6,2,1,1,1,1,3,1,35
421453,434000,3,28/11/2019,2,2,1,1,19,1,3,1,41
428958,435471,2,28/11/2019,3,2,4,2,1,1,3,1,38
424958,434437,2,28/11/2019,3,1,4,1,1,1,3,1,13
425033,433154,2,29/11/2019,6,4,4,1,9,1,3,2,27
430673,434946,2,29/11/2019,3,1,1,1,9,1,3,1,26
433019,435018,2,29/11/2019,6,2,1,1,9,2,3,2,29
433019,435018,2,29/11/2019,6,2,1,1,9,2,3,2,50
433019,435018,2,29/11/2019,6,2,1,1,9,1,3,1,45
430034,434069,2,29/11/2019,6,2,4,1,1,1,2,2,31
430782,438591,2,29/11/2019,6,1,4,1,9,2,3,2,47
431524,432553,2,29/11/2019,3,1,4,1,9,1,3,1,35
430170,433193,1,29/11/2019,6,1,4,1,9,3,2,1,39
429925,432733,2,30/11/2019,6,1,1,1,9,1,3,1,57
429925,432733,2,30/11/2019,6,1,1,1,9,1,3,2,42
429925,432733,2,30/11/2019,6,1,1,1,9,2,3,1,41
429141,430784,2,30/11/2019,6,2,4,2,9,2,3,1,24
428936,425986,2,30/11/2019,3,1,4,1,9,1,3,1,88
428936,425986,2,30/11/2019,3,1,4,1,9,1,3,2,27
420301,437124,1,01/12/2019,3,2,4,1,9,1,3,1,21
432620,434597,2,01/12/2019,4,2,1,1,9,2,3,1,29
429419,433281,1,01/12/2019,6,1,4,1,9,3,3,2,36
429419,433281,1,01/12/2019,6,1,4,1,9,3,3,2,12
429419,433281,1,01/12/2019,6,1,4,1,9,3,3,1,8
429419,433281,1,01/12/2019,6,1,4,1,9,3,3,2,34
426952,435691,2,01/12/2019,6,1,4,1,3,1,2,1,20
431558,435185,2,01/12/2019,3,4,4,1,9,1,3,1,37
431558,435185,2,01/12/2019,3,4,4,1,9,1,3,2,27
431978,439367,2,03/12/2019,6,1,1,1,9,1,3,2,28
425639,434242,1,03/12/2019,3,1,1,1,3,1,2,1,25
426822,434974,2,03/12/2019,3,1,1,1,1,1,3,1,49
435971,435459,1,03/12/2019,3,1,1,1,9,3,2,2,16
430071,433367,1,03/12/2019,6,1,1,1,11,3,2,2,20
429273,430095,1,03/12/2019,6,1,4,1,10,3,3,2,76
431573,425153,5,03/12/2019,1,1,4,1,9,1,3,2,39
431573,425153,5,03/12/2019,1,1,4,1,9,1,3,2,53
431573,425153,5,03/12/2019,1,1,4,1,19,1,3,1,54
430951,433242,2,03/12/2019,6,1,4,1,9,1,3,1,30
426089,435590,2,04/12/2019,6,1,1,1,9,1,3,2,44
440641,426123,2,04/12/2019,3,1,1,1,9,1,3,2,48
440641,426123,2,04/12/2019,3,1,1,1,9,1,3,1,58
428205,434190,2,04/12/2019,6,1,1,1,1,1,3,1,31
441013,434557,1,04/12/2019,1,1,1,1,19,3,2,1,43
432788,435457,2,04/12/2019,6,1,1,1,3,1,2,1,18
429494,436615,1,04/12/2019,6,1,6,1,9,3,3,1,11
437310,433424,2,04/12/2019,3,1,7,1,9,1,3,1,28
427261,429568,2,04/12/2019,6,2,4,1,3,1,2,1,26
429002,436843,3,04/12/2019,6,1,4,1,9,1,3,1,33
443640,436793,5,05/12/2019,2,1,1,1,9,1,3,2,39
443640,436793,5,05/12/2019,2,1,1,1,9,1,3,1,40
443640,436793,5,05/12/2019,2,1,1,1,9,2,3,1,38
443640,436793,5,05/12/2019,2,1,1,1,9,1,3,2,37
431196,436831,2,05/12/2019,6,1,1,1,1,1,2,1,37
430634,432643,2,05/12/2019,3,1,1,1,9,1,3,2,56
430634,432643,2,05/12/2019,3,1,1,1,9,2,3,2,20
440760,428666,1,05/12/2019,6,2,1,1,9,3,2,1,70
440760,428666,1,05/12/2019,6,2,1,1,9,3,2,2,67
429340,437270,1,05/12/2019,6,1,1,1,9,3,3,2,11
428218,426435,2,06/12/2019,1,2,4,2,9,1,3,2,33
431315,429850,1,06/12/2019,6,2,1,1,9,3,2,2,22
433375,425876,2,06/12/2019,1,2,4,1,9,2,3,2,45
427512,426313,2,06/12/2019,1,2,4,1,9,1,3,2,61
427512,426313,2,06/12/2019,1,2,4,1,9,2,3,2,38
427512,426313,2,06/12/2019,1,2,4,1,9,2,3,1,12
430903,432278,1,06/12/2019,6,2,4,1,9,3,3,1,17
429849,433408,1,05/12/2019,6,1,4,1,9,3,3,2,21
429849,433408,1,05/12/2019,6,1,4,1,9,3,3,2,49
430013,434115,2,06/12/2019,6,2,4,1,1,1,3,1,27
430028,434086,1,07/12/2019,6,2,4,2,8,3,2,2,34
429885,430767,2,09/12/2019,3,1,1,1,9,1,3,2,49
429885,430767,2,09/12/2019,3,1,1,1,11,2,3,2,73
429885,430767,2,09/12/2019,3,1,1,1,11,2,3,2,18
426982,439897,2,09/12/2019,3,1,1,1,5,1,3,1,29
428597,432793,2,09/12/2019,3,1,1,1,9,1,3,1,32
430150,428094,2,09/12/2019,6,1,1,1,9,1,3,2,51
432317,426035,2,09/12/2019,1,1,1,1,9,2,3,1,21
432317,426035,2,09/12/2019,1,1,1,1,9,1,3,2,21
428045,432828,1,10/12/2019,4,2,1,4,9,3,3,1,15
430436,431014,3,10/12/2019,1,1,1,1,9,1,3,1,32
428845,430209,1,10/12/2019,6,2,4,5,9,3,3,1,23
428845,430209,1,10/12/2019,6,2,4,5,9,3,3,1,27
426021,427782,1,10/12/2019,6,2,4,5,9,3,2,2,81
430690,433675,2,11/12/2019,3,1,4,1,1,1,3,1,41
430396,430892,2,11/12/2019,1,2,4,1,9,1,3,1,26
435743,436089,1,11/12/2019,6,2,4,1,5,3,2,2,29
422025,436488,1,11/12/2019,6,1,1,1,9,3,3,2,12
432513,427562,2,11/12/2019,6,2,4,1,9,1,3,1,38
432513,427562,2,11/12/2019,6,2,4,1,9,2,2,2,38
433106,436127,2,12/12/2019,3,2,4,1,3,1,2,1,34
428479,426413,3,12/12/2019,1,2,4,2,9,1,2,1,73
424475,439080,1,12/12/2019,6,2,4,2,9,3,2,1,73
424620,427641,2,12/12/2019,1,2,4,2,9,1,3,2,40
423739,437384,1,10/12/2019,3,1,4,1,8,3,3,1,65
431109,436836,2,13/12/2019,6,1,1,1,9,1,3,1,62
428306,429579,2,16/11/2019,3,1,1,1,9,2,3,1,38
432302,444128,2,14/12/2019,3,2,1,1,19,1,2,1,59
432302,444128,2,14/12/2019,3,2,1,1,9,1,2,1,86
436039,434790,1,13/12/2019,6,1,1,1,9,3,3,1,33
441235,439816,4,14/12/2019,3,2,1,2,9,1,2,2,41
441235,439816,4,14/12/2019,3,2,1,2,9,1,2,2,30
441235,439816,4,14/12/2019,3,2,1,2,9,1,3,1,69
441235,439816,4,14/12/2019,3,2,1,2,9,1,3,2,44
428005,426228,3,15/12/2019,3,2,4,3,8,1,3,1,29
444980,442685,3,15/12/2019,6,2,1,4,16,1,2,2,66
444980,442685,3,15/12/2019,6,2,1,4,16,1,3,2,59
425916,435496,2,15/12/2019,6,2,1,1,1,1,2,1,51
432434,434839,2,15/12/2019,4,2,4,1,9,1,3,1,34
443563,431700,1,15/12/2019,3,2,6,1,9,1,3,1,21
430242,432968,2,16/12/2019,6,2,1,8,9,1,3,1,39
440088,433359,1,16/12/2019,3,1,4,1,9,3,2,2,17
424093,428106,2,17/12/2019,3,2,1,1,9,1,3,1,57
440900,434527,3,17/12/2019,1,2,1,1,19,1,3,2,25
431435,431610,2,17/12/2019,6,2,1,1,9,1,3,2,71
431127,424754,2,17/12/2019,1,2,1,1,9,1,3,1,67
426637,433085,2,17/12/2019,4,2,4,2,9,1,3,1,50
432047,425662,3,18/12/2019,1,2,4,1,9,1,3,1,50
423720,434202,2,18/12/2019,6,4,1,1,9,1,3,2,22
423720,434202,2,18/12/2019,6,4,1,1,9,2,3,2,2
439303,432396,2,18/12/2019,3,2,1,1,1,1,3,1,39
431062,430364,2,18/12/2019,6,2,4,2,1,1,3,1,51
431973,425559,2,18/12/2019,1,2,4,2,9,1,2,1,34
430917,435590,1,19/12/2019,6,2,4,2,9,3,2,1,51
440370,448115,1,19/12/2019,3,2,4,1,9,3,3,2,54
431534,432542,3,20/12/2019,3,2,1,2,9,1,3,1,43
433117,434025,2,20/12/2019,4,1,1,1,11,1,3,1,69
428545,426414,2,20/12/2019,1,2,4,1,9,1,3,1,59
430695,439199,1,20/12/2019,3,2,4,1,9,3,2,1,43
430765,433846,2,20/12/2019,6,1,4,1,1,1,3,1,31
430234,431975,2,09/12/2019,1,1,1,1,19,1,3,1,37
430479,437776,1,21/12/2019,6,2,1,1,9,3,1,1,66
430523,428345,2,21/12/2019,6,1,1,1,9,2,3,2,27
430523,428345,2,21/12/2019,6,1,1,1,9,2,3,1,63
430523,428345,2,21/12/2019,6,1,1,1,9,1,3,2,36
425484,434124,1,21/12/2019,6,1,1,1,19,3,3,1,49
431656,426485,3,21/12/2019,4,2,4,2,9,1,3,2,30
428595,427781,1,22/12/2019,3,2,4,2,9,2,3,1,20
436176,427733,2,21/12/2019,3,1,4,1,9,1,3,1,25
430931,436028,2,22/12/2019,6,1,1,1,9,1,3,1,63
435361,431300,1,22/12/2019,1,2,1,1,9,1,3,2,23
428440,428625,4,22/12/2019,3,2,4,1,9,1,2,1,19
428440,428625,4,22/12/2019,3,2,4,1,9,2,2,1,19
428440,428625,4,22/12/2019,3,2,4,1,9,1,2,1,43
428440,428625,4,22/12/2019,3,2,4,1,9,2,2,2,43
428440,428625,4,22/12/2019,3,2,4,1,9,2,2,2,9
424808,433913,1,21/12/2019,6,1,7,1,8,2,3,1,32
430089,431324,2,23/12/2019,3,2,1,2,9,3,3,1,63
429011,430281,2,23/12/2019,6,1,4,1,9,1,3,1,31
429963,437208,2,23/12/2019,3,2,4,1,9,1,3,2,29
437817,428195,2,24/12/2019,6,1,1,1,9,1,3,1,61
438414,432729,2,24/12/2019,3,2,4,1,9,2,3,2,90
420001,446004,2,24/12/2019,6,2,7,1,9,1,3,1,24
438959,439138,1,24/12/2019,3,1,6,1,9,3,3,1,23
432397,426233,2,27/12/2019,1,1,4,1,9,2,3,2,28
430100,431497,2,29/12/2019,6,1,4,1,9,2,3,2,37
430040,434040,1,29/12/2019,6,1,4,1,9,3,2,1,21
442094,434619,1,30/12/2019,1,2,4,4,9,1,3,1,27
423019,437653,1,30/12/2019,3,4,1,1,5,1,2,1,36
436853,442515,2,31/12/2019,3,1,1,1,1,1,2,1,59
421466,433999,3,31/12/2019,3,1,4,1,9,1,3,1,41
421466,433999,3,31/12/2019,3,1,4,1,9,2,3,1,26
